_id,record_id,census_date,gender,race,age_at_booking,age_at_census
1,8,2015-01-01,M,W,53.0,53.0
2,16,2015-01-01,M,W,46.0,46.0
3,24,2015-01-01,F,B,48.0,48.0
4,32,2015-01-01,F,W,27.0,27.0
5,40,2015-01-01,F,W,25.0,25.0
6,48,2015-01-01,M,B,23.0,23.0
7,56,2015-01-01,M,W,46.0,46.0
8,64,2015-01-01,M,W,33.0,33.0
9,72,2015-01-01,M,B,24.0,24.0
10,80,2015-01-01,M,B,56.0,56.0
11,88,2015-01-01,M,B,27.0,27.0
12,96,2015-01-01,M,B,35.0,35.0
13,104,2015-01-01,M,B,35.0,35.0
14,112,2015-01-01,M,B,51.0,51.0
15,120,2015-01-01,F,W,50.0,50.0
16,128,2015-01-01,M,B,26.0,26.0
17,136,2015-01-01,M,W,37.0,37.0
18,144,2015-01-01,F,B,21.0,21.0
19,152,2015-01-01,M,B,22.0,22.0
20,160,2015-01-01,M,W,36.0,36.0
21,168,2015-01-01,F,W,41.0,41.0
22,176,2015-01-01,M,B,52.0,52.0
23,184,2015-01-01,M,B,20.0,20.0
24,192,2015-01-01,M,W,25.0,25.0
25,200,2015-01-01,M,W,29.0,29.0
26,208,2015-01-01,M,B,19.0,19.0
27,216,2015-01-01,M,B,43.0,43.0
28,224,2015-01-01,M,W,29.0,29.0
29,232,2015-01-01,M,B,19.0,19.0
30,240,2015-01-01,M,B,48.0,48.0
31,248,2015-01-01,M,B,34.0,34.0
32,256,2015-01-01,M,B,43.0,43.0
33,264,2015-01-01,M,W,20.0,20.0
34,272,2015-01-01,F,W,27.0,27.0
35,280,2015-01-01,M,W,52.0,52.0
36,288,2015-01-01,M,W,26.0,26.0
37,296,2015-01-01,M,W,39.0,40.0
38,304,2015-01-01,M,B,34.0,34.0
39,312,2015-01-01,F,W,30.0,30.0
40,320,2015-01-01,M,B,34.0,34.0
41,328,2015-01-01,M,W,33.0,33.0
42,336,2015-01-01,M,W,30.0,30.0
43,344,2015-01-01,M,B,22.0,22.0
44,352,2015-01-01,M,B,34.0,34.0
45,360,2015-01-01,M,B,28.0,28.0
46,368,2015-01-01,M,B,38.0,38.0
47,376,2015-01-01,M,B,72.0,72.0
48,384,2015-01-01,M,W,30.0,30.0
